17/08/2021 09:21:07 2.37  108.88 29.76 110.81 8.48

17/08/2021 09:21:11 3.29  108.88 29.76 110.81 8.50

17/08/2021 09:21:15 3.41  108.88 29.76 110.81 8.48

17/08/2021 09:21:19 3.33  108.88 29.73 110.81 8.53

17/08/2021 09:21:23 2.59  108.88 29.76 110.81 8.59

17/08/2021 09:21:27 2.83  108.88 29.76 110.81 8.50

17/08/2021 09:21:31 3.34  108.88 29.76 110.81 8.50

17/08/2021 09:21:35 3.33  108.88 29.73 110.81 8.50

17/08/2021 09:21:39 3.32  108.88 29.76 110.81 8.55

17/08/2021 09:21:43 2.35  108.88 29.76 110.81 8.50

17/08/2021 09:21:47 3.35  108.88 29.78 110.81 8.53

17/08/2021 09:21:51 3.34  108.92 29.76 110.81 8.59

17/08/2021 09:21:56 3.33  108.97 29.76 110.81 8.59

17/08/2021 09:22:00 2.31  108.92 29.76 110.81 8.62

17/08/2021 09:22:04 3.34  108.92 29.76 110.81 8.50

17/08/2021 09:22:08 3.33  108.88 29.76 110.81 8.55

17/08/2021 09:22:12 3.34  108.88 29.70 110.81 8.53

17/08/2021 09:22:16 2.33  108.88 29.76 110.81 8.50

17/08/2021 09:22:20 3.34  108.92 29.76 110.81 8.55

17/08/2021 09:22:24 3.34  108.97 29.73 110.86 8.46

17/08/2021 09:22:28 3.32  108.92 29.76 110.81 8.48

17/08/2021 09:22:32 2.43  108.92 29.76 110.81 8.46

17/08/2021 09:22:36 3.33  108.92 29.76 110.81 8.50

17/08/2021 09:22:40 3.33  108.97 29.76 110.76 8.53

17/08/2021 09:22:44 2.56  108.97 29.76 110.81 8.48

17/08/2021 09:22:48 3.24  108.88 29.76 110.81 8.50

17/08/2021 09:22:52 3.35  108.92 29.78 110.81 8.48

17/08/2021 09:22:56 2.78  108.88 29.76 110.81 8.48

17/08/2021 09:23:00 3.25  108.92 29.76 110.81 8.57

17/08/2021 09:23:04 3.33  108.92 29.76 110.81 8.50

17/08/2021 09:23:09 2.81  108.92 29.81 110.76 8.48

17/08/2021 09:23:13 3.26  108.92 29.76 110.81 8.50

17/08/2021 09:23:17 3.35  108.97 29.76 110.81 8.50

17/08/2021 09:23:21 2.80  108.92 29.76 110.81 8.50

17/08/2021 09:23:25 3.23  108.92 29.73 110.81 8.53

17/08/2021 09:23:29 3.38  109.02 29.70 110.81 8.50

